order_id,order_date,region,revenue,load_timestamp
ORD-1001,2026-08-01,North,245.50,2026-08-03T08:15:00
ORD-1002,2026-08-01,South,132.00,2026-08-03T08:16:00
ORD-1003,2026-08-02,East,89.99,2026-08-03T08:17:00
ORD-1004,2026-08-02,West,410.25,2026-08-03T08:18:00
ORD-1005,2026-08-02,North,76.40,2026-08-03T08:19:00
ORD-1006,2026-08-02,,198.75,2026-08-03T08:20:00
ORD-1007,2026-08-02,South,-55.00,2026-08-03T08:21:00
ORD-1008,2026-08-02,East,320.10,2026-08-03T08:22:00
ORD-1009,2026-08-02,West,145.60,2026-08-03T08:23:00
ORD-1004,2026-08-02,West,410.25,2026-08-03T08:24:00
ORD-1010,2026-08-01,North,62.30,2026-07-31T09:00:00
ORD-1011,2026-08-02,South,275.00,2026-08-03T08:26:00
